Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,"Justus Schmidt, Max Boehme",,49er,9.0,G,30,,285,244,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Logan Dunning-Beck, Jack Simpson",,49er,15.0,G,32,,288,249,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Matthew Mcgovern, Ryan Seaton",,49er,11.0,G,19,,234,193,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Yann Jauvin, Kevin Fischer",,49er,19.0,G,20,,233,201,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Ruggero Tita, Pietro Zucchetti",,49er,8.0,G,15,,208,173,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Christian Lubeck, Jonas Warrer",,49er,3.0,G,2,,139,98,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Petar Cupac, Pavle Kostov",,49er,3.0,G,8,,159,132,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Lucien Cujean, Sebastien Schneiter",,49er,41.0,G,35,,309,268,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Uberto Crivelli Visconti, Gianmarco Togni",,49er,41.0,G,28,,272,231,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Hans Henken, Judge Ryan",,49er,41.0,G,39,,357,316,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Benjamin Jose Grez Ahrens, Cristobal Grez Ahrens",,49er,41.0,G,33,,293,252,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Marcus Anjemark, Carl P Sylvan",,49er,10.0,G,11,,179,142,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Christian Lubeck, Jonas Warrer",,49er,41.0,G,2,,139,98,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Levi Slap, Max Slap",,49er,41.0,G,40,,359,318,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Roberto Dubbini, Luca Dubbini",,49er,41.0,G,24,,259,218,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Jacek Nowak, Tomasz Januszewski",,49er,41.0,G,12,,191,150,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Kenji Takahashi, Yukio Makino",,49er,41.0,G,29,,276,235,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Sébastien SCOTTO DI FASANO, Mathieu Frei",,49er,41.0,G,34,,308,267,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Andrea Tesei, Stefano Cherin",,49er,41.0,G,16,,217,176,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Gubreal Birgas, Murci Siffeutte Grual",,49er,18.4,G,13,,193,153,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Erik Heil, Thomas Ploessel",,49er,13.0,G,10,,191,157,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Noe Delpech, Julien D'Ortoli",,49er,41.0,G,22,,251,210,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Niclas Düring, Victor Bergström",,49er,41.0,G,23,,258,217,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Nico Delle - Karth, Nikolaus Resch",,49er,41.0,G,7,,165,124,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Chris Taylor, Samuel Batten",,49er,41.0,G,37,,316,275,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Logan Dunning-Beck, Jack Simpson",,49er,19.0,G,32,,288,249,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Justus Schmidt, Max Boehme",,49er,2.0,G,30,,285,244,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Alain Sign, Dylan Fletcher",,49er,6.0,G,5,,143,111,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Stuart Bithell, John Pink",,49er,5.0,G,6,,145,123,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Iago Lopez Marra, Diego Botin le Chever",,49er,8.0,G,17,,211,177,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Ruggero Tita, Pietro Zucchetti",,49er,18.0,G,15,,208,173,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Lewis Brake, David Gilmour",,49er,12.0,G,21,,247,207,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"William Phillips, Sam Phillips",,49er,1.0,G,3,,143,102,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Lukasz Przybytek, Pawel Kolodzinski",,49er,4.0,G,25,,262,221,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Fritiof Hedström, Victor Vasternas",,49er,41.0,G,18,,220,179,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Matthew Mcgovern, Ryan Seaton",,49er,7.0,G,19,,234,193,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Fynn Sterritt, James Peters",,49er,11.0,G,4,,126,106,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Yann Jauvin, Kevin Fischer",,49er,14.0,G,20,,233,201,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Benjamin Bildstein, David Hussl",,49er,16.0,G,26,,264,223,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Yann Rocherieux, Gabriel Skoczek",,49er,41.0,G,27,,268,227,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Klaus Lange, Yago Lange",,49er,17.0,G,14,,201,160,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Tom Pelsmaekers, Yannick Lefebvre",,49er,15.0,G,9,,167,147,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Thomas Barrows, III, Joseph Morris",,49er,41.0,G,31,,287,246,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Tom Siganto, Joel Turner",,49er,41.0,G,36,,310,269,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Jack Hawkins, Christopher Thomas",,49er,41.0,G,38,,338,297,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Blair Tuke, Peter Burling",,49er,9.0,G,1,,80,52,Semaine Olympique Francaise De Voile 2016,Race 03,0
,,"Gubreal Birgas, Murci Siffeutte Grual",,49er,18.4,G,13,,193,153,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Lukasz Przybytek, Pawel Kolodzinski",,49er,41.0,G,25,,262,221,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Kenji Takahashi, Yukio Makino",,49er,26.0,G,29,,276,235,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Ruggero Tita, Pietro Zucchetti",,49er,14.0,G,15,,208,173,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Yann Jauvin, Kevin Fischer",,49er,19.0,G,20,,233,201,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Noe Delpech, Julien D'Ortoli",,49er,11.0,G,22,,251,210,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Thomas Barrows, III, Joseph Morris",,49er,30.0,G,31,,287,246,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Alain Sign, Dylan Fletcher",,49er,17.0,G,5,,143,111,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Tom Siganto, Joel Turner",,49er,24.0,G,36,,310,269,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Benjamin Bildstein, David Hussl",,49er,41.0,G,26,,264,223,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Nico Delle - Karth, Nikolaus Resch",,49er,15.0,G,7,,165,124,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Fynn Sterritt, James Peters",,49er,5.0,G,4,,126,106,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Marcus Anjemark, Carl P Sylvan",,49er,7.0,G,11,,179,142,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Justus Schmidt, Max Boehme",,49er,10.0,G,30,,285,244,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Yann Rocherieux, Gabriel Skoczek",,49er,41.0,G,27,,268,227,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Benjamin Jose Grez Ahrens, Cristobal Grez Ahrens",,49er,18.0,G,33,,293,252,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Tom Pelsmaekers, Yannick Lefebvre",,49er,20.0,G,9,,167,147,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Blair Tuke, Peter Burling",,49er,3.0,G,1,,80,52,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Andrea Tesei, Stefano Cherin",,49er,25.0,G,16,,217,176,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Niclas Düring, Victor Bergström",,49er,6.0,G,23,,258,217,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Fritiof Hedström, Victor Vasternas",,49er,28.0,G,18,,220,179,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Chris Taylor, Samuel Batten",,49er,27.0,G,37,,316,275,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Lewis Brake, David Gilmour",,49er,32.0,G,21,,247,207,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Uberto Crivelli Visconti, Gianmarco Togni",,49er,34.0,G,28,,272,231,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Roberto Dubbini, Luca Dubbini",,49er,16.0,G,24,,259,218,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Klaus Lange, Yago Lange",,49er,41.0,G,14,,201,160,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Sébastien SCOTTO DI FASANO, Mathieu Frei",,49er,33.0,G,34,,308,267,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Erik Heil, Thomas Ploessel",,49er,1.0,G,10,,191,157,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Lucien Cujean, Sebastien Schneiter",,49er,9.0,G,35,,309,268,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Logan Dunning-Beck, Jack Simpson",,49er,31.0,G,32,,288,249,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Levi Slap, Max Slap",,49er,29.0,G,40,,359,318,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"William Phillips, Sam Phillips",,49er,4.0,G,3,,143,102,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Stuart Bithell, John Pink",,49er,8.0,G,6,,145,123,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Petar Cupac, Pavle Kostov",,49er,13.0,G,8,,159,132,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Jack Hawkins, Christopher Thomas",,49er,22.0,G,38,,338,297,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Christian Lubeck, Jonas Warrer",,49er,2.0,G,2,,139,98,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Hans Henken, Judge Ryan",,49er,41.0,G,39,,357,316,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Matthew Mcgovern, Ryan Seaton",,49er,21.0,G,19,,234,193,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Iago Lopez Marra, Diego Botin le Chever",,49er,23.0,G,17,,211,177,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Jacek Nowak, Tomasz Januszewski",,49er,12.0,G,12,,191,150,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Fynn Sterritt, James Peters",,49er,20.0,G,4,,126,106,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Petar Cupac, Pavle Kostov",,49er,9.0,G,8,,159,132,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Andrea Tesei, Stefano Cherin",,49er,30.0,G,16,,217,176,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Lewis Brake, David Gilmour",,49er,17.0,G,21,,247,207,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Lucien Cujean, Sebastien Schneiter",,49er,26.0,G,35,,309,268,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Uberto Crivelli Visconti, Gianmarco Togni",,49er,25.0,G,28,,272,231,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Logan Dunning-Beck, Jack Simpson",,49er,18.0,G,32,,288,249,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Christian Lubeck, Jonas Warrer",,49er,7.0,G,2,,139,98,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Blair Tuke, Peter Burling",,49er,1.0,G,1,,80,52,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Fritiof Hedström, Victor Vasternas",,49er,22.0,G,18,,220,179,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Kenji Takahashi, Yukio Makino",,49er,31.0,G,29,,276,235,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Marcus Anjemark, Carl P Sylvan",,49er,37.0,G,11,,179,142,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Thomas Barrows, III, Joseph Morris",,49er,16.0,G,31,,287,246,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Nico Delle - Karth, Nikolaus Resch",,49er,11.0,G,7,,165,124,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Stuart Bithell, John Pink",,49er,2.0,G,6,,145,123,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Justus Schmidt, Max Boehme",,49er,23.0,G,30,,285,244,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Benjamin Jose Grez Ahrens, Cristobal Grez Ahrens",,49er,4.0,G,33,,293,252,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Tom Siganto, Joel Turner",,49er,35.0,G,36,,310,269,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Tom Pelsmaekers, Yannick Lefebvre",,49er,5.0,G,9,,167,147,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Yann Rocherieux, Gabriel Skoczek",,49er,14.0,G,27,,268,227,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Levi Slap, Max Slap",,49er,36.0,G,40,,359,318,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Klaus Lange, Yago Lange",,49er,15.0,G,14,,201,160,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Erik Heil, Thomas Ploessel",,49er,8.0,G,10,,191,157,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Noe Delpech, Julien D'Ortoli",,49er,13.0,G,22,,251,210,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Niclas Düring, Victor Bergström",,49er,33.0,G,23,,258,217,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Ruggero Tita, Pietro Zucchetti",,49er,12.0,G,15,,208,173,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Lukasz Przybytek, Pawel Kolodzinski",,49er,41.0,G,25,,262,221,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Benjamin Bildstein, David Hussl",,49er,10.0,G,26,,264,223,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Jacek Nowak, Tomasz Januszewski",,49er,28.0,G,12,,191,150,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Gubreal Birgas, Murci Siffeutte Grual",,49er,18.4,G,13,,193,153,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Chris Taylor, Samuel Batten",,49er,29.0,G,37,,316,275,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Hans Henken, Judge Ryan",,49er,41.0,G,39,,357,316,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Iago Lopez Marra, Diego Botin le Chever",,49er,24.0,G,17,,211,177,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"William Phillips, Sam Phillips",,49er,6.0,G,3,,143,102,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Alain Sign, Dylan Fletcher",,49er,3.0,G,5,,143,111,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Yann Jauvin, Kevin Fischer",,49er,27.0,G,20,,233,201,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Jack Hawkins, Christopher Thomas",,49er,19.0,G,38,,338,297,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Roberto Dubbini, Luca Dubbini",,49er,21.0,G,24,,259,218,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Matthew Mcgovern, Ryan Seaton",,49er,32.0,G,19,,234,193,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Sébastien SCOTTO DI FASANO, Mathieu Frei",,49er,34.0,G,34,,308,267,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Levi Slap, Max Slap",,49er,38.0,G,40,,359,318,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Niclas Düring, Victor Bergström",,49er,15.0,G,23,,258,217,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Lewis Brake, David Gilmour",,49er,40.0,G,21,,247,207,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Jacek Nowak, Tomasz Januszewski",,49er,16.0,G,12,,191,150,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Hans Henken, Judge Ryan",,49er,34.0,G,39,,357,316,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Yann Rocherieux, Gabriel Skoczek",,49er,17.0,G,27,,268,227,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Yann Jauvin, Kevin Fischer",,49er,22.0,G,20,,233,201,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Iago Lopez Marra, Diego Botin le Chever",,49er,20.0,G,17,,211,177,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Blair Tuke, Peter Burling",,49er,3.0,G,1,,80,52,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Stuart Bithell, John Pink",,49er,13.0,G,6,,145,123,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Justus Schmidt, Max Boehme",,49er,28.0,G,30,,285,244,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Tom Pelsmaekers, Yannick Lefebvre",,49er,18.0,G,9,,167,147,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Marcus Anjemark, Carl P Sylvan",,49er,14.0,G,11,,179,142,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Christian Lubeck, Jonas Warrer",,49er,25.0,G,2,,139,98,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Klaus Lange, Yago Lange",,49er,1.0,G,14,,201,160,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"William Phillips, Sam Phillips",,49er,5.0,G,3,,143,102,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Nico Delle - Karth, Nikolaus Resch",,49er,4.0,G,7,,165,124,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Petar Cupac, Pavle Kostov",,49er,10.0,G,8,,159,132,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Fynn Sterritt, James Peters",,49er,7.0,G,4,,126,106,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Jack Hawkins, Christopher Thomas",,49er,37.0,G,38,,338,297,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Noe Delpech, Julien D'Ortoli",,49er,11.0,G,22,,251,210,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Erik Heil, Thomas Ploessel",,49er,32.0,G,10,,191,157,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Fritiof Hedström, Victor Vasternas",,49er,2.0,G,18,,220,179,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Kenji Takahashi, Yukio Makino",,49er,23.0,G,29,,276,235,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Lukasz Przybytek, Pawel Kolodzinski",,49er,33.0,G,25,,262,221,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Chris Taylor, Samuel Batten",,49er,36.0,G,37,,316,275,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Sébastien SCOTTO DI FASANO, Mathieu Frei",,49er,21.0,G,34,,308,267,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Ruggero Tita, Pietro Zucchetti",,49er,35.0,G,15,,208,173,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Roberto Dubbini, Luca Dubbini",,49er,24.0,G,24,,259,218,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Gubreal Birgas, Murci Siffeutte Grual",,49er,12.0,G,13,,193,153,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Uberto Crivelli Visconti, Gianmarco Togni",,49er,30.0,G,28,,272,231,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Matthew Mcgovern, Ryan Seaton",,49er,29.0,G,19,,234,193,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Benjamin Bildstein, David Hussl",,49er,6.0,G,26,,264,223,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Logan Dunning-Beck, Jack Simpson",,49er,39.0,G,32,,288,249,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Thomas Barrows, III, Joseph Morris",,49er,26.0,G,31,,287,246,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Lucien Cujean, Sebastien Schneiter",,49er,31.0,G,35,,309,268,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Alain Sign, Dylan Fletcher",,49er,19.0,G,5,,143,111,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Benjamin Jose Grez Ahrens, Cristobal Grez Ahrens",,49er,27.0,G,33,,293,252,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Tom Siganto, Joel Turner",,49er,10.0,G,36,,310,269,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Andrea Tesei, Stefano Cherin",,49er,9.0,G,16,,217,176,Semaine Olympique Francaise De Voile 2016,Race 06,0
,,"Jacek Nowak, Tomasz Januszewski",,49er,7.0,G,12,,191,150,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Christian Lubeck, Jonas Warrer",,49er,9.0,G,2,,139,98,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Sébastien SCOTTO DI FASANO, Mathieu Frei",,49er,38.0,G,34,,308,267,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Hans Henken, Judge Ryan",,49er,35.0,G,39,,357,316,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Fynn Sterritt, James Peters",,49er,3.0,G,4,,126,106,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Tom Siganto, Joel Turner",,49er,16.0,G,36,,310,269,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Kenji Takahashi, Yukio Makino",,49er,6.0,G,29,,276,235,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Lucien Cujean, Sebastien Schneiter",,49er,37.0,G,35,,309,268,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Levi Slap, Max Slap",,49er,21.0,G,40,,359,318,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Marcus Anjemark, Carl P Sylvan",,49er,31.0,G,11,,179,142,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Logan Dunning-Beck, Jack Simpson",,49er,1.0,G,32,,288,249,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Lukasz Przybytek, Pawel Kolodzinski",,49er,27.0,G,25,,262,221,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Erik Heil, Thomas Ploessel",,49er,24.0,G,10,,191,157,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Ruggero Tita, Pietro Zucchetti",,49er,15.0,G,15,,208,173,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Iago Lopez Marra, Diego Botin le Chever",,49er,26.0,G,17,,211,177,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Jack Hawkins, Christopher Thomas",,49er,33.0,G,38,,338,297,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Gubreal Birgas, Murci Siffeutte Grual",,49er,23.0,G,13,,193,153,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Thomas Barrows, III, Joseph Morris",,49er,12.0,G,31,,287,246,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Fritiof Hedström, Victor Vasternas",,49er,4.0,G,18,,220,179,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Uberto Crivelli Visconti, Gianmarco Togni",,49er,18.0,G,28,,272,231,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Chris Taylor, Samuel Batten",,49er,34.0,G,37,,316,275,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Benjamin Bildstein, David Hussl",,49er,32.0,G,26,,264,223,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Roberto Dubbini, Luca Dubbini",,49er,39.0,G,24,,259,218,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Blair Tuke, Peter Burling",,49er,10.0,G,1,,80,52,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Matthew Mcgovern, Ryan Seaton",,49er,25.0,G,19,,234,193,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Alain Sign, Dylan Fletcher",,49er,11.0,G,5,,143,111,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Yann Rocherieux, Gabriel Skoczek",,49er,30.0,G,27,,268,227,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Tom Pelsmaekers, Yannick Lefebvre",,49er,14.0,G,9,,167,147,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Andrea Tesei, Stefano Cherin",,49er,19.0,G,16,,217,176,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Nico Delle - Karth, Nikolaus Resch",,49er,29.0,G,7,,165,124,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Justus Schmidt, Max Boehme",,49er,41.0,G,30,,285,244,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Benjamin Jose Grez Ahrens, Cristobal Grez Ahrens",,49er,36.0,G,33,,293,252,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Lewis Brake, David Gilmour",,49er,20.0,G,21,,247,207,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Klaus Lange, Yago Lange",,49er,13.0,G,14,,201,160,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Yann Jauvin, Kevin Fischer",,49er,28.0,G,20,,233,201,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Niclas Düring, Victor Bergström",,49er,17.0,G,23,,258,217,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"William Phillips, Sam Phillips",,49er,5.0,G,3,,143,102,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Noe Delpech, Julien D'Ortoli",,49er,22.0,G,22,,251,210,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Stuart Bithell, John Pink",,49er,4.0,G,6,,145,123,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Petar Cupac, Pavle Kostov",,49er,8.0,G,8,,159,132,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Blair Tuke, Peter Burling",,49er,1.0,G,1,,80,52,Semaine Olympique Francaise De Voile 2016,Race 07,0
,,"Lewis Brake, David Gilmour",,49er,31.0,G,21,,247,207,Semaine Olympique Francaise De Voile 2016,Race 07,0
,,"Justus Schmidt, Max Boehme",,49er,41.0,G,30,,285,244,Semaine Olympique Francaise De Voile 2016,Race 07,0
,,"Ruggero Tita, Pietro Zucchetti",,49er,24.0,G,15,,208,173,Semaine Olympique Francaise De Voile 2016,Race 07,0
,,"Kenji Takahashi, Yukio Makino",,49er,28.0,G,29,,276,235,Semaine Olympique Francaise De Voile 2016,Race 07,0
