Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
PLETIKOS Lin,,Ilca 6,54.0,O,46,,519.0,373.0,European Championship 2021,R9
ZYUZINA Ekaterina,,Ilca 6,79.0 DNC,O,47,,549.0,391.0,European Championship 2021,R9
FRAZZA Francesca,,Ilca 6,48.0,O,48,,531.0,397.0,European Championship 2021,R9
DONERTAS Deniz,,Ilca 6,59.0,O,49,,542.0,401.0,European Championship 2021,R9
KOBA Hanna,,Ilca 6,55.0,O,50,,535.0,411.0,European Championship 2021,R9
BALAS Ursula,,Ilca 6,62.0,O,51,,567.0,418.0,European Championship 2021,R9
HANSSON-MILD Maja,,Ilca 6,58.0,O,52,,569.0,431.0,European Championship 2021,R9
PAPENTHIN Gesa,,Ilca 6,60.0,O,53,,559.0,433.0,European Championship 2021,R9
HIMMELOVA Klara,,Ilca 6,53.0,O,54,,596.0,451.0,European Championship 2021,R9
CRUSEMANN Carlotta Sophie,,Ilca 6,66.0,O,55,,591.0,453.0,European Championship 2021,R9
NAUMENKO Sofiia,,Ilca 6,47.0,O,56,,632.0,474.0,European Championship 2021,R9
VLACHOU Maria,,Ilca 6,57.0,O,57,,617.0,478.0,European Championship 2021,R9
SAVAR Karla,,Ilca 6,64.0,O,58,,653.0,506.0,European Championship 2021,R9
MARKOVA Diana,,Ilca 6,67.0,O,59,,653.0,512.0,European Championship 2021,R9
NALBANTOGLU Lara,,Ilca 6,61.0,O,60,,693.0,542.0,European Championship 2021,R9
TALLURI Matilda,,Ilca 6,79.0 DNC,O,61,,701.0,543.0,European Championship 2021,R9
DEURINGER Giorgia,,Ilca 6,68.0,O,62,,723.0,568.0,European Championship 2021,R9
DE CARINA Carla,,Ilca 6,79.0 DNC,O,63,,736.0,578.0,European Championship 2021,R9
TODOROVA Stanislava,,Ilca 6,(79.0 DNC),O,64,,737.0,579.0,European Championship 2021,R9
MANESTAR Nika,,Ilca 6,79.0 DNC,O,65,,758.0,600.0,European Championship 2021,R9
TODOROVA Yoana,,Ilca 6,79.0 DNC,O,66,,761.0,603.0,European Championship 2021,R9
BARWINSKA Agata,,Ilca 6,9.0,O,1,,67.0,34.0,European Championship 2021,R10
JONKER Maxime,,Ilca 6,1.0,O,2,,96.0,54.0,European Championship 2021,R10
KARACHALIOU Vasileia,,Ilca 6,(16.0),O,3,,94.0,60.0,European Championship 2021,R10
HOST Line Flem,,Ilca 6,18.0,O,4,,167.0,61.0,European Championship 2021,R10
CERVERA Louise,,Ilca 6,7.0,O,5,,117.0,62.0,European Championship 2021,R10
ANDERSSOHN Hannah,,Ilca 6,11.0,O,6,,150.0,75.0,European Championship 2021,R10
COLLINGRIDGE Daisy,,Ilca 6,3.0,O,7,,184.0,76.0,European Championship 2021,R10
VOROBEVA Elena,,Ilca 6,10.0,O,8,,182.0,83.0,European Championship 2021,R10
BARRUE Marie,,Ilca 6,2.0,O,9,,137.0,94.0,European Championship 2021,R10
MUNCH Anna,,Ilca 6,12.0,O,10,,166.0,96.0,European Championship 2021,R10
BENINI FLORIANI Chiara,,Ilca 6,5.0,O,11,,185.0,99.0,European Championship 2021,R10
MICHON Pernelle,,Ilca 6,17.0,O,12,,242.0,121.0,European Championship 2021,R10
CATTAROZZI Federica,,Ilca 6,22.0,O,13,,205.0,125.0,European Championship 2021,R10
AKKERMAN Mirthe,,Ilca 6,30.0,O,14,,203.0,126.0,European Championship 2021,R10
MCMAHON Eve,,Ilca 6,23.0,O,15,,217.0,131.0,European Championship 2021,R10
SNELLGROVE Hannah,,Ilca 6,(45.0),O,16,,213.0,132.0,European Championship 2021,R10
MAKRI Marilena,,Ilca 6,8.0,O,17,,236.0,149.0,European Championship 2021,R10
MIKKOLA Monika,,Ilca 6,(38.0),O,18,,269.0,152.0,European Championship 2021,R10
LUKOYANOVA Alexandra,,Ilca 6,26.0,O,19,,257.0,160.0,European Championship 2021,R10
NICHOLLS Matilda,,Ilca 6,14.0,O,20,,253.0,164.0,European Championship 2021,R10
GUZEL Ecem,,Ilca 6,25.0,O,21,,263.0,172.0,European Championship 2021,R10
BOLAT Ebru,,Ilca 6,21.0,O,22,,286.0,185.0,European Championship 2021,R10
GOLEBIOWSKA Wiktoria,,Ilca 6,28.0,O,23,,297.0,186.0,European Championship 2021,R10
ALBANO Carolina,,Ilca 6,(42.0),O,24,,267.0,187.0,European Championship 2021,R10
HOPKINS Aoife,,Ilca 6,35.0,O,25,,304.0,206.0,European Championship 2021,R10
DELLA VALLE Giorgia,,Ilca 6,40.0,O,26,,348.0,215.0,European Championship 2021,R10
PUJOL BAJO Cristina,,Ilca 6,29.0,O,27,,379.0,221.0,European Championship 2021,R10
LULIC Sandra,,Ilca 6,19.0,O,28,,313.0,223.0,European Championship 2021,R10
BUESSELBERG Julia,,Ilca 6,36.0,O,29,,357.0,235.0,European Championship 2021,R10
SANCHEZ Carlota,,Ilca 6,33.0,O,30,,395.0,248.0,European Championship 2021,R10
PALANTI Alessia,,Ilca 6,(50.0),O,31,,354.0,249.0,European Championship 2021,R10
BAUDET Rosine,,Ilca 6,32.0,O,32,,350.0,252.0,European Championship 2021,R10
SCHEWE Laura,,Ilca 6,44.0,O,33,,373.0,261.0,European Championship 2021,R10
VERSTRAELEN Eline,,Ilca 6,(56.0),O,34,,367.0,261.0,European Championship 2021,R10
KUMPINA Estere,,Ilca 6,20.0,O,35,,416.0,276.0,European Championship 2021,R10
VON ALLMEN Anja,,Ilca 6,24.0,O,36,,391.0,277.0,European Championship 2021,R10
ANDRULYTE Viktorija,,Ilca 6,15.0,O,37,,414.0,278.0,European Championship 2021,R10
KAKON Shai,,Ilca 6,(59.0),O,38,,416.0,298.0,European Championship 2021,R10
NORSELL Michala,,Ilca 6,54.0,O,39,,422.0,307.0,European Championship 2021,R10
SACKER Molly,,Ilca 6,(57.0),O,40,,443.0,307.0,European Championship 2021,R10
HAJI-MICHAEL Anya,,Ilca 6,49.0,O,41,,465.0,335.0,European Championship 2021,R10
BEREZA Ekaterina,,Ilca 6,41.0,O,42,,468.0,339.0,European Championship 2021,R10
ROCA DE TOGORES Ascensi¢n,,Ilca 6,52.0,O,43,,458.0,343.0,European Championship 2021,R10
SANKO Ekaterina,,Ilca 6,34.0,O,44,,465.0,352.0,European Championship 2021,R10
BOROVKOVA Elizaveta,,Ilca 6,55.0,O,45,,498.0,371.0,European Championship 2021,R10
PLETIKOS Lin,,Ilca 6,(67.0),O,46,,519.0,373.0,European Championship 2021,R10
ZYUZINA Ekaterina,,Ilca 6,79.0 DNC,O,47,,549.0,391.0,European Championship 2021,R10
FRAZZA Francesca,,Ilca 6,64.0,O,48,,531.0,397.0,European Championship 2021,R10
DONERTAS Deniz,,Ilca 6,43.0,O,49,,542.0,401.0,European Championship 2021,R10
KOBA Hanna,,Ilca 6,58.0,O,50,,535.0,411.0,European Championship 2021,R10
BALAS Ursula,,Ilca 6,65.0,O,51,,567.0,418.0,European Championship 2021,R10
HANSSON-MILD Maja,,Ilca 6,(66.0),O,52,,569.0,431.0,European Championship 2021,R10
PAPENTHIN Gesa,,Ilca 6,63.0,O,53,,559.0,433.0,European Championship 2021,R10
HIMMELOVA Klara,,Ilca 6,47.0,O,54,,596.0,451.0,European Championship 2021,R10
CRUSEMANN Carlotta Sophie,,Ilca 6,61.0,O,55,,591.0,453.0,European Championship 2021,R10
NAUMENKO Sofiia,,Ilca 6,46.0,O,56,,632.0,474.0,European Championship 2021,R10
VLACHOU Maria,,Ilca 6,62.0,O,57,,617.0,478.0,European Championship 2021,R10
SAVAR Karla,,Ilca 6,68.0,O,58,,653.0,506.0,European Championship 2021,R10
MARKOVA Diana,,Ilca 6,(71.0),O,59,,653.0,512.0,European Championship 2021,R10
NALBANTOGLU Lara,,Ilca 6,69.0,O,60,,693.0,542.0,European Championship 2021,R10
TALLURI Matilda,,Ilca 6,79.0 DNC,O,61,,701.0,543.0,European Championship 2021,R10
DEURINGER Giorgia,,Ilca 6,73.0,O,62,,723.0,568.0,European Championship 2021,R10
DE CARINA Carla,,Ilca 6,79.0 DNC,O,63,,736.0,578.0,European Championship 2021,R10
TODOROVA Stanislava,,Ilca 6,72.0,O,64,,737.0,579.0,European Championship 2021,R10
MANESTAR Nika,,Ilca 6,79.0 DNC,O,65,,758.0,600.0,European Championship 2021,R10
TODOROVA Yoana,,Ilca 6,79.0 DNC,O,66,,761.0,603.0,European Championship 2021,R10
