Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
WIERSEMA Willem,,Ilca 7,(50.0),P,5,,230.0,135.0,European Championship 2021,Q1
KRASODOMSKI Michal,,Ilca 7,27.0,P,6,,216.0,139.0,European Championship 2021,Q1
VOETS Erik,,Ilca 7,(36.0),P,7,,221.0,146.0,European Championship 2021,Q1
PAULON Matteo,,Ilca 7,32.0,P,8,,267.0,149.0,European Championship 2021,Q1
LINDQVIST Ludde,,Ilca 7,(37.0),P,9,,254.0,158.0,European Championship 2021,Q1
BARABINO Cesare,,Ilca 7,31.0,P,10,,250.0,166.0,European Championship 2021,Q1
BHOGAL Krishan,,Ilca 7,(52.0),P,11,,260.0,172.0,European Championship 2021,Q1
ALPKOCAK Umut,,Ilca 7,(49.0),P,12,,289.0,181.0,European Championship 2021,Q1
MUSONE Giacomo,,Ilca 7,(42.0),P,13,,285.0,184.0,European Championship 2021,Q1
MIDDELTHON Theodor,,Ilca 7,(43.0),P,14,,283.0,191.0,European Championship 2021,Q1
KLASEN Linus,,Ilca 7,40.0,P,15,,302.0,193.0,European Championship 2021,Q1
WALKENBACH Philip,,Ilca 7,(47.0),P,16,,283.0,197.0,European Championship 2021,Q1
BENHAROCH Maor,,Ilca 7,19.0,P,17,,278.0,197.0,European Championship 2021,Q1
MCMAHON Jamie,,Ilca 7,30.0,P,18,,312.0,200.0,European Championship 2021,Q1
VERHULST Gauthier,,Ilca 7,(47.0),P,19,,300.0,203.0,European Championship 2021,Q1
HALOUZKA Jakub,,Ilca 7,29.0,P,20,,312.0,207.0,European Championship 2021,Q1
CONRADI Tim,,Ilca 7,(55.0),P,21,,308.0,209.0,European Championship 2021,Q1
BINKHORST Teun,,Ilca 7,25.0,P,22,,312.0,221.0,European Championship 2021,Q1
FARLEY Arthur,,Ilca 7,21.0,P,23,,346.0,249.0,European Championship 2021,Q1
MALINOWSKI Piotr,,Ilca 7,46.0,P,24,,354.0,257.0,European Championship 2021,Q1
KRABBE-CHRISTENSEN Andreas,,Ilca 7,(52.0),P,25,,377.0,266.0,European Championship 2021,Q1
DAHLBERG Otto,,Ilca 7,44.0,P,26,,371.0,267.0,European Championship 2021,Q1
PERCIVAL-COOKE James,,Ilca 7,21.0,P,27,,391.0,273.0,European Championship 2021,Q1
SILNY Mikolaj,,Ilca 7,3.0,P,28,,375.0,274.0,European Championship 2021,Q1
GUERRA Filippo,,Ilca 7,39.0,P,29,,374.0,278.0,European Championship 2021,Q1
CVINAR Alec,,Ilca 7,(45.0),P,30,,376.0,280.0,European Championship 2021,Q1
HOPKINS Jack,,Ilca 7,(59.0 SCP),P,31,,389.0,280.0,European Championship 2021,Q1
TODOROV Ivo,,Ilca 7,30.0,P,32,,375.0,281.0,European Championship 2021,Q1
HAGLAND Olai,,Ilca 7,46.0,P,33,,389.0,285.0,European Championship 2021,Q1
KUBBER Clemens,,Ilca 7,28.0,P,34,,399.0,295.0,European Championship 2021,Q1
HEBEL Juliusz,,Ilca 7,32.0,P,35,,417.0,311.0,European Championship 2021,Q1
MADYTSKI Yauheni,,Ilca 7,(54.0),P,36,,415.0,311.0,European Championship 2021,Q1
STRELCIUNAS Vejas,,Ilca 7,(54.0),P,37,,426.0,321.0,European Championship 2021,Q1
HANEVIK August,,Ilca 7,43.0,P,38,,440.0,329.0,European Championship 2021,Q1
PRIKRYL Benjamin,,Ilca 7,50.0,P,39,,436.0,329.0,European Championship 2021,Q1
DEMIRCAN Doruk,,Ilca 7,(55.0),P,40,,468.0,360.0,European Championship 2021,Q1
JANULIONIS Radvilas,,Ilca 7,38.0,P,41,,477.0,367.0,European Championship 2021,Q1
LINDEMARK Anders,,Ilca 7,(51.0),P,42,,495.0,385.0,European Championship 2021,Q1
CHATZISTAMATIOU Aristotelis,,Ilca 7,51.0,P,43,,498.0,389.0,European Championship 2021,Q1
ATANASOV Zlatko,,Ilca 7,56.0,P,44,,520.0,404.0,European Championship 2021,Q1
BOBOTAS Chris,,Ilca 7,35.0,P,45,,526.0,412.0,European Championship 2021,Q1
FILCHEV Ivo,,Ilca 7,(56.0),P,46,,542.0,427.0,European Championship 2021,Q1
MLADENOV Hristo,,Ilca 7,(59.0 SCP),P,47,,562.0,444.0,European Championship 2021,Q1
PENEV Martin,,Ilca 7,(59.0 SCP),P,48,,568.0,450.0,European Championship 2021,Q1
ANASTASIADIS Dimitrios,,Ilca 7,57.0,P,49,,584.0,466.0,European Championship 2021,Q1
BECKETT Michael,,Ilca 7,10,O,1,,43.0,23.0,European Championship 2021,Q2
JURISIC Filip,,Ilca 7,-200,O,2,,71.0,39.0,European Championship 2021,Q2
VADNAI Jonatan,,Ilca 7,100,O,3,,75.0,43.0,European Championship 2021,Q2
NIKOLAEV Maxim,,Ilca 7,40,O,4,,78.8,44.8,European Championship 2021,Q2
KONTIDES Pavlos,,Ilca 7,30,O,5,,72.0,47.0,European Championship 2021,Q2
CHIAVARINI Lorenzo Brando,,Ilca 7,-130,O,6,,85.0,55.0,European Championship 2021,Q2
LYNCH Finn,,Ilca 7,100,O,7,,153.0,64.0,European Championship 2021,Q2
BOS Duko,,Ilca 7,80,O,8,,115.0,70.0,European Championship 2021,Q2
VAN LAER Wannes,,Ilca 7,70,O,9,,134.0,87.0,European Championship 2021,Q2
DE SMET William,,Ilca 7,20,O,10,,143.0,96.0,European Championship 2021,Q2
SPADONI Alessio,,Ilca 7,190,O,11,,182.0,99.0,European Championship 2021,Q2
BROEKHUIZEN Niels,,Ilca 7,70,O,12,,159.0,103.0,European Championship 2021,Q2
WHITELEY Daniel,,Ilca 7,90,O,13,,172.0,113.0,European Championship 2021,Q2
LAUKKANEN Nooa,,Ilca 7,110,O,14,,205.0,124.0,European Championship 2021,Q2
KOMISSAROV Sergei,,Ilca 7,130,O,15,,207.0,127.0,European Championship 2021,Q2
MARQUES Eduardo,,Ilca 7,170,O,16,,195.0,133.0,European Championship 2021,Q2
KRUTSKIKH Daniil,,Ilca 7,40,O,17,,232.0,140.0,European Championship 2021,Q2
DUKIC Milivoj,,Ilca 7,80,O,18,,261.0,143.0,European Championship 2021,Q2
VILLA Nicol•,,Ilca 7,190,O,19,,201.0,149.0,European Championship 2021,Q2
ZELKO Zan Luka,,Ilca 7,20,O,20,,254.0,163.0,European Championship 2021,Q2
MCMAHON Ewan,,Ilca 7,180,O,21,,244.0,171.0,European Championship 2021,Q2
WHALEY Sam,,Ilca 7,120,O,22,,241.0,175.0,European Championship 2021,Q2
PAPADIMITRIOU Dimitris,,Ilca 7,10,O,23,,249.0,176.0,European Championship 2021,Q2
VADNAI Benjamin,,Ilca 7,230,O,24,,255.0,176.0,European Championship 2021,Q2
BOUGIOURIS Adonis,,Ilca 7,50,O,25,,267.0,183.0,European Championship 2021,Q2
WILLIM Nik Aaron,,Ilca 7,220,O,26,,301.0,183.0,European Championship 2021,Q2
GASPIC Bruno,,Ilca 7,360,O,27,,283.0,184.0,European Championship 2021,Q2
BOITE Alexandre,,Ilca 7,290,O,28,,263.0,185.0,European Championship 2021,Q2
TEPLY Viktor,,Ilca 7,50,O,29,,255.0,188.0,European Championship 2021,Q2
GOLANI Omer Boaz,,Ilca 7,120,O,30,,277.0,189.0,European Championship 2021,Q2
COCCOLUTO Giovanni,,Ilca 7,110,O,31,,278.0,190.0,European Championship 2021,Q2
SAMPAIO Santiago,,Ilca 7,150,O,32,,288.0,191.0,European Championship 2021,Q2
PLANCHESTAINER Gianmarco,,Ilca 7,220,O,33,,274.0,194.0,European Championship 2021,Q2
ABAY Berkay,,Ilca 7,210,O,34,,285.0,198.0,European Championship 2021,Q2
CITAK Yigit Yalcin,,Ilca 7,240,O,35,,309.0,199.0,European Championship 2021,Q2
PERONI Dimitri,,Ilca 7,270,O,36,,299.0,209.0,European Championship 2021,Q2
NAUJOCK Nico,,Ilca 7,170,O,37,,338.0,223.0,European Championship 2021,Q2
BENGTSON Emil,,Ilca 7,240,O,38,,353.0,235.0,European Championship 2021,Q2
BARTH Justin,,Ilca 7,30,O,39,,325.0,236.0,European Championship 2021,Q2
RODZIEWICZ Kuba,,Ilca 7,160,O,40,,327.0,239.0,European Championship 2021,Q2
PANAGIOTIDIS Anastasios,,Ilca 7,140,O,41,,330.0,250.0,European Championship 2021,Q2
TAPPER Aleksi,,Ilca 7,250,O,42,,350.0,259.0,European Championship 2021,Q2
GLYNN Liam,,Ilca 7,260,O,43,,363.0,267.0,European Championship 2021,Q2
KARK Wilhelm,,Ilca 7,280,O,44,,364.0,267.0,European Championship 2021,Q2
PAJARSKAS Martis,,Ilca 7,-480,O,45,,382.0,277.0,European Championship 2021,Q2
VAN OFWEGEN Thomas,,Ilca 7,230,O,46,,371.0,279.0,European Championship 2021,Q2
MATEUS Lourenco,,Ilca 7,290,O,47,,370.0,285.0,European Championship 2021,Q2
FARREN-PRICE Jacob,,Ilca 7,260,O,48,,402.0,289.0,European Championship 2021,Q2
MARKOVIC Ilija,,Ilca 7,-470,O,49,,404.0,301.0,European Championship 2021,Q2
UUSITALO Valtteri,,Ilca 7,(59.0 RET),P,1,,178.0,60.0,European Championship 2021,Q2
ROLAZ Nicolas,,Ilca 7,40.0,P,2,,183.0,93.0,European Championship 2021,Q2
HOFFMANN Julian,,Ilca 7,(46.0),P,3,,205.0,100.0,European Championship 2021,Q2
BOS Marnix,,Ilca 7,34.0,P,4,,187.0,113.0,European Championship 2021,Q2
WIERSEMA Willem,,Ilca 7,(45.0),P,5,,230.0,135.0,European Championship 2021,Q2
KRASODOMSKI Michal,,Ilca 7,(41.0),P,6,,216.0,139.0,European Championship 2021,Q2
VOETS Erik,,Ilca 7,(39.0),P,7,,221.0,146.0,European Championship 2021,Q2
PAULON Matteo,,Ilca 7,15.0,P,8,,267.0,149.0,European Championship 2021,Q2
LINDQVIST Ludde,,Ilca 7,27.0,P,9,,254.0,158.0,European Championship 2021,Q2
BARABINO Cesare,,Ilca 7,(40.0),P,10,,250.0,166.0,European Championship 2021,Q2
BHOGAL Krishan,,Ilca 7,34.0,P,11,,260.0,172.0,European Championship 2021,Q2
ALPKOCAK Umut,,Ilca 7,42.0,P,12,,289.0,181.0,European Championship 2021,Q2
MUSONE Giacomo,,Ilca 7,35.0,P,13,,285.0,184.0,European Championship 2021,Q2
MIDDELTHON Theodor,,Ilca 7,(49.0),P,14,,283.0,191.0,European Championship 2021,Q2
KLASEN Linus,,Ilca 7,(50.0),P,15,,302.0,193.0,European Championship 2021,Q2
WALKENBACH Philip,,Ilca 7,32.0,P,16,,283.0,197.0,European Championship 2021,Q2
BENHAROCH Maor,,Ilca 7,21.0,P,17,,278.0,197.0,European Championship 2021,Q2
MCMAHON Jamie,,Ilca 7,(53.0),P,18,,312.0,200.0,European Championship 2021,Q2
VERHULST Gauthier,,Ilca 7,25.0,P,19,,300.0,203.0,European Championship 2021,Q2
HALOUZKA Jakub,,Ilca 7,35.0,P,20,,312.0,207.0,European Championship 2021,Q2
CONRADI Tim,,Ilca 7,36.0,P,21,,308.0,209.0,European Championship 2021,Q2
BINKHORST Teun,,Ilca 7,(44.0),P,22,,312.0,221.0,European Championship 2021,Q2
FARLEY Arthur,,Ilca 7,39.0,P,23,,346.0,249.0,European Championship 2021,Q2
MALINOWSKI Piotr,,Ilca 7,37.0,P,24,,354.0,257.0,European Championship 2021,Q2
KRABBE-CHRISTENSEN Andreas,,Ilca 7,52.0,P,25,,377.0,266.0,European Championship 2021,Q2
DAHLBERG Otto,,Ilca 7,32.0,P,26,,371.0,267.0,European Championship 2021,Q2
PERCIVAL-COOKE James,,Ilca 7,46.0,P,27,,391.0,273.0,European Championship 2021,Q2
SILNY Mikolaj,,Ilca 7,42.0,P,28,,375.0,274.0,European Championship 2021,Q2
GUERRA Filippo,,Ilca 7,33.0,P,29,,374.0,278.0,European Championship 2021,Q2
CVINAR Alec,,Ilca 7,(51.0),P,30,,376.0,280.0,European Championship 2021,Q2
HOPKINS Jack,,Ilca 7,(50.0),P,31,,389.0,280.0,European Championship 2021,Q2
TODOROV Ivo,,Ilca 7,(47.0),P,32,,375.0,281.0,European Championship 2021,Q2
HAGLAND Olai,,Ilca 7,(54.0),P,33,,389.0,285.0,European Championship 2021,Q2
KUBBER Clemens,,Ilca 7,(53.0),P,34,,399.0,295.0,European Championship 2021,Q2
HEBEL Juliusz,,Ilca 7,49.0,P,35,,417.0,311.0,European Championship 2021,Q2
MADYTSKI Yauheni,,Ilca 7,30.0,P,36,,415.0,311.0,European Championship 2021,Q2
STRELCIUNAS Vejas,,Ilca 7,41.0,P,37,,426.0,321.0,European Championship 2021,Q2
HANEVIK August,,Ilca 7,(59.0 SCP),P,38,,440.0,329.0,European Championship 2021,Q2
PRIKRYL Benjamin,,Ilca 7,(54.0),P,39,,436.0,329.0,European Championship 2021,Q2
DEMIRCAN Doruk,,Ilca 7,48.0,P,40,,468.0,360.0,European Championship 2021,Q2
JANULIONIS Radvilas,,Ilca 7,44.0,P,41,,477.0,367.0,European Championship 2021,Q2
LINDEMARK Anders,,Ilca 7,51.0,P,42,,495.0,385.0,European Championship 2021,Q2
CHATZISTAMATIOU Aristotelis,,Ilca 7,(55.0),P,43,,498.0,389.0,European Championship 2021,Q2
ATANASOV Zlatko,,Ilca 7,55.0,P,44,,520.0,404.0,European Championship 2021,Q2
BOBOTAS Chris,,Ilca 7,52.0,P,45,,526.0,412.0,European Championship 2021,Q2
FILCHEV Ivo,,Ilca 7,56.0,P,46,,542.0,427.0,European Championship 2021,Q2
MLADENOV Hristo,,Ilca 7,57.0,P,47,,562.0,444.0,European Championship 2021,Q2
PENEV Martin,,Ilca 7,56.0,P,48,,568.0,450.0,European Championship 2021,Q2
ANASTASIADIS Dimitrios,,Ilca 7,57.0,P,49,,584.0,466.0,European Championship 2021,Q2
BECKETT Michael,,Ilca 7,4.0,O,1,,43.0,23.0,European Championship 2021,Q3
JURISIC Filip,,Ilca 7,5.0,O,2,,71.0,39.0,European Championship 2021,Q3
VADNAI Jonatan,,Ilca 7,2.0,O,3,,75.0,43.0,European Championship 2021,Q3
NIKOLAEV Maxim,,Ilca 7,3.0,O,4,,78.8,44.8,European Championship 2021,Q3
KONTIDES Pavlos,,Ilca 7,1.0,O,5,,72.0,47.0,European Championship 2021,Q3
CHIAVARINI Lorenzo Brando,,Ilca 7,4.0,O,6,,85.0,55.0,European Championship 2021,Q3
LYNCH Finn,,Ilca 7,3.0,O,7,,153.0,64.0,European Championship 2021,Q3
BOS Duko,,Ilca 7,9.0,O,8,,115.0,70.0,European Championship 2021,Q3
VAN LAER Wannes,,Ilca 7,7.0,O,9,,134.0,87.0,European Championship 2021,Q3
DE SMET William,,Ilca 7,8.0,O,10,,143.0,96.0,European Championship 2021,Q3
SPADONI Alessio,,Ilca 7,9.0,O,11,,182.0,99.0,European Championship 2021,Q3
BROEKHUIZEN Niels,,Ilca 7,(21.0),O,12,,159.0,103.0,European Championship 2021,Q3
WHITELEY Daniel,,Ilca 7,10.0,O,13,,172.0,113.0,European Championship 2021,Q3
LAUKKANEN Nooa,,Ilca 7,(22.0),O,14,,205.0,124.0,European Championship 2021,Q3
KOMISSAROV Sergei,,Ilca 7,(59.0 DNF),O,15,,207.0,127.0,European Championship 2021,Q3
MARQUES Eduardo,,Ilca 7,11.0,O,16,,195.0,133.0,European Championship 2021,Q3
KRUTSKIKH Daniil,,Ilca 7,21.0,O,17,,232.0,140.0,European Championship 2021,Q3
DUKIC Milivoj,,Ilca 7,12.0,O,18,,261.0,143.0,European Championship 2021,Q3
VILLA Nicol•,,Ilca 7,(27.0),O,19,,201.0,149.0,European Championship 2021,Q3
ZELKO Zan Luka,,Ilca 7,(37.0),O,20,,254.0,163.0,European Championship 2021,Q3
MCMAHON Ewan,,Ilca 7,(34.0),O,21,,244.0,171.0,European Championship 2021,Q3
WHALEY Sam,,Ilca 7,8.0,O,22,,241.0,175.0,European Championship 2021,Q3
PAPADIMITRIOU Dimitris,,Ilca 7,14.0,O,23,,249.0,176.0,European Championship 2021,Q3
VADNAI Benjamin,,Ilca 7,2.0,O,24,,255.0,176.0,European Championship 2021,Q3
BOUGIOURIS Adonis,,Ilca 7,17.0,O,25,,267.0,183.0,European Championship 2021,Q3
WILLIM Nik Aaron,,Ilca 7,16.0,O,26,,301.0,183.0,European Championship 2021,Q3
GASPIC Bruno,,Ilca 7,16.0,O,27,,283.0,184.0,European Championship 2021,Q3
BOITE Alexandre,,Ilca 7,19.0,O,28,,263.0,185.0,European Championship 2021,Q3
TEPLY Viktor,,Ilca 7,22.0,O,29,,255.0,188.0,European Championship 2021,Q3
GOLANI Omer Boaz,,Ilca 7,(42.0),O,30,,277.0,189.0,European Championship 2021,Q3
COCCOLUTO Giovanni,,Ilca 7,6.0,O,31,,278.0,190.0,European Championship 2021,Q3
SAMPAIO Santiago,,Ilca 7,17.0,O,32,,288.0,191.0,European Championship 2021,Q3
PLANCHESTAINER Gianmarco,,Ilca 7,(39.0),O,33,,274.0,194.0,European Championship 2021,Q3
ABAY Berkay,,Ilca 7,23.0,O,34,,285.0,198.0,European Championship 2021,Q3
CITAK Yigit Yalcin,,Ilca 7,12.0,O,35,,309.0,199.0,European Championship 2021,Q3
PERONI Dimitri,,Ilca 7,15.0,O,36,,299.0,209.0,European Championship 2021,Q3
NAUJOCK Nico,,Ilca 7,24.0,O,37,,338.0,223.0,European Championship 2021,Q3
BENGTSON Emil,,Ilca 7,24.0,O,38,,353.0,235.0,European Championship 2021,Q3
BARTH Justin,,Ilca 7,(39.0),O,39,,325.0,236.0,European Championship 2021,Q3
RODZIEWICZ Kuba,,Ilca 7,(36.0),O,40,,327.0,239.0,European Championship 2021,Q3
PANAGIOTIDIS Anastasios,,Ilca 7,25.0,O,41,,330.0,250.0,European Championship 2021,Q3
TAPPER Aleksi,,Ilca 7,41.0,O,42,,350.0,259.0,European Championship 2021,Q3
GLYNN Liam,,Ilca 7,35.0,O,43,,363.0,267.0,European Championship 2021,Q3
KARK Wilhelm,,Ilca 7,(38.0),O,44,,364.0,267.0,European Championship 2021,Q3
PAJARSKAS Martis,,Ilca 7,15.0,O,45,,382.0,277.0,European Championship 2021,Q3
VAN OFWEGEN Thomas,,Ilca 7,(33.0),O,46,,371.0,279.0,European Championship 2021,Q3
MATEUS Lourenco,,Ilca 7,14.0,O,47,,370.0,285.0,European Championship 2021,Q3
FARREN-PRICE Jacob,,Ilca 7,(54.0),O,48,,402.0,289.0,European Championship 2021,Q3
MARKOVIC Ilija,,Ilca 7,29.0,O,49,,404.0,301.0,European Championship 2021,Q3
UUSITALO Valtteri,,Ilca 7,11.0,P,1,,178.0,60.0,European Championship 2021,Q3
ROLAZ Nicolas,,Ilca 7,13.0,P,2,,183.0,93.0,European Championship 2021,Q3
HOFFMANN Julian,,Ilca 7,13.0,P,3,,205.0,100.0,European Championship 2021,Q3
BOS Marnix,,Ilca 7,(35.0),P,4,,187.0,113.0,European Championship 2021,Q3
WIERSEMA Willem,,Ilca 7,30.0,P,5,,230.0,135.0,European Championship 2021,Q3
KRASODOMSKI Michal,,Ilca 7,(36.0),P,6,,216.0,139.0,European Championship 2021,Q3
VOETS Erik,,Ilca 7,18.0,P,7,,221.0,146.0,European Championship 2021,Q3
PAULON Matteo,,Ilca 7,25.0,P,8,,267.0,149.0,European Championship 2021,Q3
LINDQVIST Ludde,,Ilca 7,31.0,P,9,,254.0,158.0,European Championship 2021,Q3
BARABINO Cesare,,Ilca 7,19.0,P,10,,250.0,166.0,European Championship 2021,Q3
BHOGAL Krishan,,Ilca 7,34.0,P,11,,260.0,172.0,European Championship 2021,Q3
ALPKOCAK Umut,,Ilca 7,40.0,P,12,,289.0,181.0,European Championship 2021,Q3
MUSONE Giacomo,,Ilca 7,31.0,P,13,,285.0,184.0,European Championship 2021,Q3
MIDDELTHON Theodor,,Ilca 7,32.0,P,14,,283.0,191.0,European Championship 2021,Q3
KLASEN Linus,,Ilca 7,26.0,P,15,,302.0,193.0,European Championship 2021,Q3
WALKENBACH Philip,,Ilca 7,23.0,P,16,,283.0,197.0,European Championship 2021,Q3
BENHAROCH Maor,,Ilca 7,32.0,P,17,,278.0,197.0,European Championship 2021,Q3
MCMAHON Jamie,,Ilca 7,28.0,P,18,,312.0,200.0,European Championship 2021,Q3
VERHULST Gauthier,,Ilca 7,20.0,P,19,,300.0,203.0,European Championship 2021,Q3
HALOUZKA Jakub,,Ilca 7,(46.0),P,20,,312.0,207.0,European Championship 2021,Q3
CONRADI Tim,,Ilca 7,26.0,P,21,,308.0,209.0,European Championship 2021,Q3
BINKHORST Teun,,Ilca 7,(47.0),P,22,,312.0,221.0,European Championship 2021,Q3
FARLEY Arthur,,Ilca 7,(53.0),P,23,,346.0,249.0,European Championship 2021,Q3
MALINOWSKI Piotr,,Ilca 7,41.0,P,24,,354.0,257.0,European Championship 2021,Q3
KRABBE-CHRISTENSEN Andreas,,Ilca 7,52.0,P,25,,377.0,266.0,European Championship 2021,Q3
DAHLBERG Otto,,Ilca 7,27.0,P,26,,371.0,267.0,European Championship 2021,Q3
PERCIVAL-COOKE James,,Ilca 7,44.0,P,27,,391.0,273.0,European Championship 2021,Q3
SILNY Mikolaj,,Ilca 7,(47.0),P,28,,375.0,274.0,European Championship 2021,Q3
GUERRA Filippo,,Ilca 7,42.0,P,29,,374.0,278.0,European Championship 2021,Q3
CVINAR Alec,,Ilca 7,43.0,P,30,,376.0,280.0,European Championship 2021,Q3
HOPKINS Jack,,Ilca 7,40.0,P,31,,389.0,280.0,European Championship 2021,Q3
TODOROV Ivo,,Ilca 7,43.0,P,32,,375.0,281.0,European Championship 2021,Q3
HAGLAND Olai,,Ilca 7,(50.0),P,33,,389.0,285.0,European Championship 2021,Q3
KUBBER Clemens,,Ilca 7,(51.0),P,34,,399.0,295.0,European Championship 2021,Q3
HEBEL Juliusz,,Ilca 7,(52.0),P,35,,417.0,311.0,European Championship 2021,Q3
MADYTSKI Yauheni,,Ilca 7,45.0,P,36,,415.0,311.0,European Championship 2021,Q3
STRELCIUNAS Vejas,,Ilca 7,48.0,P,37,,426.0,321.0,European Championship 2021,Q3
HANEVIK August,,Ilca 7,51.0,P,38,,440.0,329.0,European Championship 2021,Q3
PRIKRYL Benjamin,,Ilca 7,49.0,P,39,,436.0,329.0,European Championship 2021,Q3
DEMIRCAN Doruk,,Ilca 7,44.0,P,40,,468.0,360.0,European Championship 2021,Q3
