ID Resultado,ID Competidor,Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,JENNA GIBSON,4.0,IQFOIL Fem,25.0,0,G,50,0,433.0,295.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,SARA CHOLNOKY,4.0,IQFOIL Fem,11.0,0,G,51,0,421.0,299.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,ALISA ENGELMANN,4.0,IQFOIL Fem,35.0,0,G,52,DNFs,402.0,301.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,HELENA WANSER,4.0,IQFOIL Fem,25.0,0,G,53,0,432.0,315.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,IULIIA KAVALERCHIK,4.0,IQFOIL Fem,25.0,0,G,54,0,436.0,317.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,RINA NIIJIMA,4.0,IQFOIL Fem,27.0,0,G,55,0,420.0,320.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,DILARA URALP,4.0,IQFOIL Fem,23.0,0,G,56,0,443.0,327.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,LUCY KENYON,4.0,IQFOIL Fem,19.0,0,G,57,0,438.0,331.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,INES BOUCHET,4.0,IQFOIL Fem,13.0,0,G,58,0,477.0,349.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,FIONA WYLDE,4.0,IQFOIL Fem,35.0,0,G,59,DNFs,475.0,366.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,MERVE VATAN,4.0,IQFOIL Fem,21.0,0,G,60,0,499.0,376.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,LINDA OPRANDI,4.0,IQFOIL Fem,35.0,0,G,61,BFDs,502.0,378.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,NATASA LAPPA,4.0,IQFOIL Fem,15.0,0,G,62,0,528.0,397.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,AYSE-ZEYNEP TURKOGLU,4.0,IQFOIL Fem,31.0,0,G,63,0,539.0,408.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,ELIF ERCAN,4.0,IQFOIL Fem,19.0,0,G,64,0,560.0,422.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,MANON BERGER,4.0,IQFOIL Fem,35.0,0,G,65,DNFs,548.0,423.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,ELENA SANDERA,4.0,IQFOIL Fem,35.0,0,G,66,DNCs,562.0,424.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,GELLY SKARLATOU,4.0,IQFOIL Fem,29.0,0,G,67,0,567.0,436.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,JUNNA WATANABE,4.0,IQFOIL Fem,35.0,0,G,68,DNFs,569.0,438.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,HELENE NOESMOEN,4.0,IQFOIL Fem,13.0,1,G,1,0,31.0,13.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,ISLAY WATSON,4.0,IQFOIL Fem,3.0,0,G,2,0,146.7,42.7,European Championship 2021 - Gold Fleet & Medal Race,R4
,,SHACHAR RESHEF,4.0,IQFOIL Fem,35.0,1,G,3,DSQs,113.0,46.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,LUCIE BELBEOCH,4.0,IQFOIL Fem,1.0,0,G,4,0,85.0,52.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,SASKIA SILLS,4.0,IQFOIL Fem,35.0,1,G,5,BFDs,108.0,52.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,PILAR LAMADRID TRUEBA,4.0,IQFOIL Fem,5.0,0,G,6,0,162.0,68.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,PALMA CARGO,4.0,IQFOIL Fem,11.0,0,G,7,0,113.6,80.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,NICOLE VAN DER VELDEN,4.0,IQFOIL Fem,1.0,0,G,8,0,118.0,81.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,MAJA DZIARNOWSKA,4.0,IQFOIL Fem,11.0,0,G,9,0,135.0,85.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,MAYA MORRIS,4.0,IQFOIL Fem,1.0,0,G,10,0,125.0,87.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,WENNEKES SARA,4.0,IQFOIL Fem,7.0,0,G,11,0,127.0,89.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,DANIELA PELEG,4.0,IQFOIL Fem,15.0,0,G,12,0,139.0,89.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,MARTA MAGGETTI,4.0,IQFOIL Fem,9.0,0,G,13,0,131.0,91.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,SHARON KANTOR,4.0,IQFOIL Fem,7.0,0,G,14,0,139.0,93.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,LOLA SORIN,4.0,IQFOIL Fem,11.0,0,G,15,0,138.0,100.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,MARIANA AGUILAR-CHAVEZ-PEON,4.0,IQFOIL Fem,3.0,0,G,16,0,145.2,105.2,European Championship 2021 - Gold Fleet & Medal Race,R4
,,HELLE OPPEDAL,4.0,IQFOIL Fem,9.0,0,G,17,0,153.5,105.5,European Championship 2021 - Gold Fleet & Medal Race,R4
,,NAAMA GAZIT,4.0,IQFOIL Fem,5.0,0,G,18,0,166.0,115.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,LENA ERDIL,4.0,IQFOIL Fem,15.0,0,G,19,0,190.0,130.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,MARION MORTEFON,4.0,IQFOIL Fem,5.0,0,G,20,0,192.0,133.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,MANON PIANAZZA,4.0,IQFOIL Fem,35.0,1,G,21,BFDs,209.0,144.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,DELPHINE COUSIN,4.0,IQFOIL Fem,1.0,0,G,22,0,253.0,151.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,GIORGIA SPECIALE,4.0,IQFOIL Fem,5.0,0,G,23,0,228.0,153.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,ALICE READ,4.0,IQFOIL Fem,7.0,0,G,24,0,272.0,160.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,GIBSON ALYSIA,4.0,IQFOIL Fem,23.0,0,G,25,0,251.0,163.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,GIOVANNA PRADA,4.0,IQFOIL Fem,27.0,0,G,26,0,252.0,167.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,AMBAR PAPAZIAN,4.0,IQFOIL Fem,3.0,0,G,27,0,246.0,176.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,MARION COUTURIER,4.0,IQFOIL Fem,3.0,0,G,28,0,259.0,177.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,SHAHAR TIBI,4.0,IQFOIL Fem,9.0,0,G,29,0,248.0,181.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,KATERINA SVIKOVA,4.0,IQFOIL Fem,21.0,0,G,30,0,267.0,196.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,MINA MOBEKK,4.0,IQFOIL Fem,17.0,0,G,31,0,277.0,204.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,NEEV ROBINSON,4.0,IQFOIL Fem,25.0,0,G,32,0,301.0,223.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,ODA SVERRE,4.0,IQFOIL Fem,29.0,0,G,33,0,308.0,225.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,ALEKSANDRA BLINNIKKA,4.0,IQFOIL Fem,7.0,0,G,34,0,319.0,225.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,THERESA MARIE STEINLEIN,4.0,IQFOIL Fem,13.0,0,G,35,0,304.0,227.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,BARBORA SVIKOVA,4.0,IQFOIL Fem,25.0,0,G,36,0,325.0,229.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,CATRIN WILLIAMS,4.0,IQFOIL Fem,33.0,0,G,37,0,329.0,234.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,MIKA KAFRI,4.0,IQFOIL Fem,9.0,0,G,38,0,322.0,235.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,ANDREA TORRES FULLANA,4.0,IQFOIL Fem,11.0,0,G,39,0,325.0,237.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,LINOY GEVA,4.0,IQFOIL Fem,19.0,0,G,40,0,354.0,238.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,MAJA KUCHTA,4.0,IQFOIL Fem,35.0,0,G,41,DNFs,334.0,245.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,ANNA KHVORIKOVA,4.0,IQFOIL Fem,17.0,0,G,42,0,372.0,265.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,SOFIA RENNA,4.0,IQFOIL Fem,23.0,0,G,43,0,392.0,268.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,KAROLINA LIPINSKA,4.0,IQFOIL Fem,17.0,0,G,44,0,377.0,268.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,JENNIE ROBERTS,4.0,IQFOIL Fem,15.0,0,G,45,0,380.0,273.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,LINA ERZEN,4.0,IQFOIL Fem,23.0,0,G,46,0,405.0,280.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,ZOFIA NOCETI-KLEPACKA,4.0,IQFOIL Fem,13.0,0,G,47,0,392.0,283.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,INGRID PUUSTA,4.0,IQFOIL Fem,35.0,0,G,48,DNFs,377.0,288.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,DANAE PONTIFEX,4.0,IQFOIL Fem,13.0,0,G,49,0,394.0,289.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,JENNA GIBSON,4.0,IQFOIL Fem,35.0,0,G,50,DNFs,433.0,295.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,SARA CHOLNOKY,4.0,IQFOIL Fem,31.0,0,G,51,0,421.0,299.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,ALISA ENGELMANN,4.0,IQFOIL Fem,29.0,0,G,52,0,402.0,301.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,HELENA WANSER,4.0,IQFOIL Fem,15.0,0,G,53,0,432.0,315.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,IULIIA KAVALERCHIK,4.0,IQFOIL Fem,19.0,0,G,54,0,436.0,317.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,RINA NIIJIMA,4.0,IQFOIL Fem,19.0,0,G,55,0,420.0,320.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,DILARA URALP,4.0,IQFOIL Fem,21.0,0,G,56,0,443.0,327.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,LUCY KENYON,4.0,IQFOIL Fem,21.0,0,G,57,0,438.0,331.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,INES BOUCHET,4.0,IQFOIL Fem,21.0,0,G,58,0,477.0,349.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,FIONA WYLDE,4.0,IQFOIL Fem,17.0,0,G,59,0,475.0,366.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,MERVE VATAN,4.0,IQFOIL Fem,27.0,0,G,60,0,499.0,376.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,LINDA OPRANDI,4.0,IQFOIL Fem,19.0,0,G,61,0,502.0,378.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,NATASA LAPPA,4.0,IQFOIL Fem,27.0,0,G,62,0,528.0,397.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,AYSE-ZEYNEP TURKOGLU,4.0,IQFOIL Fem,25.0,0,G,63,0,539.0,408.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,ELIF ERCAN,4.0,IQFOIL Fem,23.0,0,G,64,0,560.0,422.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,MANON BERGER,4.0,IQFOIL Fem,35.0,0,G,65,DNCs,548.0,423.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,ELENA SANDERA,4.0,IQFOIL Fem,35.0,0,G,66,DNCs,562.0,424.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,GELLY SKARLATOU,4.0,IQFOIL Fem,31.0,0,G,67,0,567.0,436.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,JUNNA WATANABE,4.0,IQFOIL Fem,35.0,0,G,68,DNFs,569.0,438.0,European Championship 2021 - Gold Fleet & Medal Race,R4
,,HELENE NOESMOEN,4.0,IQFOIL Fem,1.0,0,G,1,0,31.0,13.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,ISLAY WATSON,4.0,IQFOIL Fem,3.0,0,G,2,0,146.7,42.7,European Championship 2021 - Gold Fleet & Medal Race,R5
,,SHACHAR RESHEF,4.0,IQFOIL Fem,1.0,0,G,3,0,113.0,46.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,LUCIE BELBEOCH,4.0,IQFOIL Fem,9.0,0,G,4,0,85.0,52.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,SASKIA SILLS,4.0,IQFOIL Fem,1.0,0,G,5,0,108.0,52.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,PILAR LAMADRID TRUEBA,4.0,IQFOIL Fem,5.0,0,G,6,0,162.0,68.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,PALMA CARGO,4.0,IQFOIL Fem,13.0,0,G,7,0,113.6,80.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,NICOLE VAN DER VELDEN,4.0,IQFOIL Fem,13.0,0,G,8,0,118.0,81.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,MAJA DZIARNOWSKA,4.0,IQFOIL Fem,11.0,0,G,9,0,135.0,85.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,MAYA MORRIS,4.0,IQFOIL Fem,11.0,0,G,10,0,125.0,87.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,WENNEKES SARA,4.0,IQFOIL Fem,1.0,0,G,11,0,127.0,89.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,DANIELA PELEG,4.0,IQFOIL Fem,3.0,0,G,12,0,139.0,89.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,MARTA MAGGETTI,4.0,IQFOIL Fem,13.0,0,G,13,0,131.0,91.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,SHARON KANTOR,4.0,IQFOIL Fem,5.0,0,G,14,0,139.0,93.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,LOLA SORIN,4.0,IQFOIL Fem,7.0,0,G,15,0,138.0,100.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,MARIANA AGUILAR-CHAVEZ-PEON,4.0,IQFOIL Fem,3.0,0,G,16,0,145.2,105.2,European Championship 2021 - Gold Fleet & Medal Race,R5
,,HELLE OPPEDAL,4.0,IQFOIL Fem,11.0,0,G,17,0,153.5,105.5,European Championship 2021 - Gold Fleet & Medal Race,R5
,,NAAMA GAZIT,4.0,IQFOIL Fem,3.0,0,G,18,0,166.0,115.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,LENA ERDIL,4.0,IQFOIL Fem,35.0,1,G,19,BFDs,190.0,130.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,MARION MORTEFON,4.0,IQFOIL Fem,7.0,0,G,20,0,192.0,133.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,MANON PIANAZZA,4.0,IQFOIL Fem,7.0,0,G,21,0,209.0,144.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,DELPHINE COUSIN,4.0,IQFOIL Fem,29.0,0,G,22,0,253.0,151.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,GIORGIA SPECIALE,4.0,IQFOIL Fem,15.0,0,G,23,0,228.0,153.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,ALICE READ,4.0,IQFOIL Fem,11.0,0,G,24,0,272.0,160.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,GIBSON ALYSIA,4.0,IQFOIL Fem,31.0,0,G,25,0,251.0,163.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,GIOVANNA PRADA,4.0,IQFOIL Fem,17.0,0,G,26,0,252.0,167.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,AMBAR PAPAZIAN,4.0,IQFOIL Fem,5.0,0,G,27,0,246.0,176.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,MARION COUTURIER,4.0,IQFOIL Fem,19.0,0,G,28,0,259.0,177.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,SHAHAR TIBI,4.0,IQFOIL Fem,17.0,0,G,29,0,248.0,181.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,KATERINA SVIKOVA,4.0,IQFOIL Fem,15.0,0,G,30,0,267.0,196.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,MINA MOBEKK,4.0,IQFOIL Fem,13.0,0,G,31,0,277.0,204.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,NEEV ROBINSON,4.0,IQFOIL Fem,21.0,0,G,32,0,301.0,223.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,ODA SVERRE,4.0,IQFOIL Fem,9.0,0,G,33,0,308.0,225.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,ALEKSANDRA BLINNIKKA,4.0,IQFOIL Fem,19.0,0,G,34,0,319.0,225.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,THERESA MARIE STEINLEIN,4.0,IQFOIL Fem,9.0,0,G,35,0,304.0,227.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,BARBORA SVIKOVA,4.0,IQFOIL Fem,5.0,0,G,36,0,325.0,229.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,CATRIN WILLIAMS,4.0,IQFOIL Fem,15.0,0,G,37,0,329.0,234.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,MIKA KAFRI,4.0,IQFOIL Fem,19.0,0,G,38,0,322.0,235.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,ANDREA TORRES FULLANA,4.0,IQFOIL Fem,17.0,0,G,39,0,325.0,237.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,LINOY GEVA,4.0,IQFOIL Fem,27.0,0,G,40,0,354.0,238.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,MAJA KUCHTA,4.0,IQFOIL Fem,15.0,0,G,41,0,334.0,245.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,ANNA KHVORIKOVA,4.0,IQFOIL Fem,7.0,0,G,42,0,372.0,265.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,SOFIA RENNA,4.0,IQFOIL Fem,23.0,0,G,43,0,392.0,268.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,KAROLINA LIPINSKA,4.0,IQFOIL Fem,21.0,0,G,44,0,377.0,268.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,JENNIE ROBERTS,4.0,IQFOIL Fem,27.0,0,G,45,0,380.0,273.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,LINA ERZEN,4.0,IQFOIL Fem,9.0,0,G,46,0,405.0,280.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,ZOFIA NOCETI-KLEPACKA,4.0,IQFOIL Fem,19.0,0,G,47,0,392.0,283.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,INGRID PUUSTA,4.0,IQFOIL Fem,23.0,0,G,48,0,377.0,288.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,DANAE PONTIFEX,4.0,IQFOIL Fem,27.0,0,G,49,0,394.0,289.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,JENNA GIBSON,4.0,IQFOIL Fem,33.0,0,G,50,0,433.0,295.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,SARA CHOLNOKY,4.0,IQFOIL Fem,25.0,0,G,51,0,421.0,299.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,ALISA ENGELMANN,4.0,IQFOIL Fem,21.0,0,G,52,0,402.0,301.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,HELENA WANSER,4.0,IQFOIL Fem,25.0,0,G,53,0,432.0,315.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,IULIIA KAVALERCHIK,4.0,IQFOIL Fem,21.0,0,G,54,0,436.0,317.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,RINA NIIJIMA,4.0,IQFOIL Fem,23.0,0,G,55,0,420.0,320.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,DILARA URALP,4.0,IQFOIL Fem,17.0,0,G,56,0,443.0,327.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,LUCY KENYON,4.0,IQFOIL Fem,25.0,0,G,57,0,438.0,331.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,INES BOUCHET,4.0,IQFOIL Fem,25.0,0,G,58,0,477.0,349.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,FIONA WYLDE,4.0,IQFOIL Fem,35.0,0,G,59,BFDs,475.0,366.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,MERVE VATAN,4.0,IQFOIL Fem,27.0,0,G,60,0,499.0,376.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,LINDA OPRANDI,4.0,IQFOIL Fem,23.0,0,G,61,0,502.0,378.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,NATASA LAPPA,4.0,IQFOIL Fem,31.0,0,G,62,0,528.0,397.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,AYSE-ZEYNEP TURKOGLU,4.0,IQFOIL Fem,29.0,0,G,63,0,539.0,408.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,ELIF ERCAN,4.0,IQFOIL Fem,29.0,0,G,64,0,560.0,422.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,MANON BERGER,4.0,IQFOIL Fem,33.0,0,G,65,0,548.0,423.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,ELENA SANDERA,4.0,IQFOIL Fem,31.0,0,G,66,0,562.0,424.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,GELLY SKARLATOU,4.0,IQFOIL Fem,33.0,0,G,67,0,567.0,436.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,JUNNA WATANABE,4.0,IQFOIL Fem,29.0,0,G,68,0,569.0,438.0,European Championship 2021 - Gold Fleet & Medal Race,R5
,,HELENE NOESMOEN,4.0,IQFOIL Fem,1.0,0,G,1,0,31.0,13.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,ISLAY WATSON,4.0,IQFOIL Fem,35.0,1,G,2,BFDs,146.7,42.7,European Championship 2021 - Gold Fleet & Medal Race,R6
,,SHACHAR RESHEF,4.0,IQFOIL Fem,3.0,0,G,3,0,113.0,46.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,LUCIE BELBEOCH,4.0,IQFOIL Fem,3.0,0,G,4,0,85.0,52.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,SASKIA SILLS,4.0,IQFOIL Fem,3.0,0,G,5,0,108.0,52.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,PILAR LAMADRID TRUEBA,4.0,IQFOIL Fem,1.0,0,G,6,0,162.0,68.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,PALMA CARGO,4.0,IQFOIL Fem,9.0,0,G,7,0,113.6,80.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,NICOLE VAN DER VELDEN,4.0,IQFOIL Fem,11.0,0,G,8,0,118.0,81.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,MAJA DZIARNOWSKA,4.0,IQFOIL Fem,11.0,0,G,9,0,135.0,85.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,MAYA MORRIS,4.0,IQFOIL Fem,5.0,0,G,10,0,125.0,87.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,WENNEKES SARA,4.0,IQFOIL Fem,1.0,0,G,11,0,127.0,89.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,DANIELA PELEG,4.0,IQFOIL Fem,15.0,0,G,12,0,139.0,89.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,MARTA MAGGETTI,4.0,IQFOIL Fem,17.0,0,G,13,0,131.0,91.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,SHARON KANTOR,4.0,IQFOIL Fem,13.0,0,G,14,0,139.0,93.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,LOLA SORIN,4.0,IQFOIL Fem,19.0,1,G,15,0,138.0,100.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,MARIANA AGUILAR-CHAVEZ-PEON,4.0,IQFOIL Fem,9.0,0,G,16,0,145.2,105.2,European Championship 2021 - Gold Fleet & Medal Race,R6
,,HELLE OPPEDAL,4.0,IQFOIL Fem,5.0,0,G,17,0,153.5,105.5,European Championship 2021 - Gold Fleet & Medal Race,R6
,,NAAMA GAZIT,4.0,IQFOIL Fem,15.0,0,G,18,0,166.0,115.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,LENA ERDIL,4.0,IQFOIL Fem,7.0,0,G,19,0,190.0,130.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,MARION MORTEFON,4.0,IQFOIL Fem,9.0,0,G,20,0,192.0,133.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,MANON PIANAZZA,4.0,IQFOIL Fem,17.0,0,G,21,0,209.0,144.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,DELPHINE COUSIN,4.0,IQFOIL Fem,5.0,0,G,22,0,253.0,151.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,GIORGIA SPECIALE,4.0,IQFOIL Fem,9.0,0,G,23,0,228.0,153.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,ALICE READ,4.0,IQFOIL Fem,11.0,0,G,24,0,272.0,160.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,GIBSON ALYSIA,4.0,IQFOIL Fem,13.0,0,G,25,0,251.0,163.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,GIOVANNA PRADA,4.0,IQFOIL Fem,11.0,0,G,26,0,252.0,167.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,AMBAR PAPAZIAN,4.0,IQFOIL Fem,1.0,0,G,27,0,246.0,176.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,MARION COUTURIER,4.0,IQFOIL Fem,7.0,0,G,28,0,259.0,177.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,SHAHAR TIBI,4.0,IQFOIL Fem,35.0,1,G,29,BFDs,248.0,181.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,KATERINA SVIKOVA,4.0,IQFOIL Fem,17.0,0,G,30,0,267.0,196.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,MINA MOBEKK,4.0,IQFOIL Fem,7.0,0,G,31,0,277.0,204.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,NEEV ROBINSON,4.0,IQFOIL Fem,15.0,0,G,32,0,301.0,223.0,European Championship 2021 - Gold Fleet & Medal Race,R6
,,ODA SVERRE,4.0,IQFOIL Fem,3.0,0,G,33,0,308.0,225.0,European Championship 2021 - Gold Fleet & Medal Race,R6
